Attack,Defense,HP,ID,Image,Name,Sp_Atk,Sp_Def,Speed,Total,Type
55,30,10,0050,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,Diglett,35,45,90,265,Poison
100,50,35,0051,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Dugtrio,50,70,120,425,Poison
100,60,35,0051,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,Dugtrio,50,70,110,425,Ground
45,35,40,0052,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,Meowth,40,40,90,290,Poison
35,35,40,0052,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,Meowth,50,40,90,290,Poison
65,55,50,0052,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,Meowth,40,40,40,290,Poison
70,60,65,0053,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,Persian,65,65,115,440,Ground
60,60,65,0053,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,Persian,75,65,115,440,Fairy
52,48,50,0054,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,Psyduck,65,50,55,320,Fairy
82,78,80,0055,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,Golduck,95,80,85,500,Fire
80,35,40,0056,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,Mankey,35,45,70,305,Ice
105,60,65,0057,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,Primeape,60,70,95,455,Fire
70,45,55,0058,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,Growlithe,70,50,60,350,Ice
75,45,60,0058,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png,Growlithe,65,50,55,350,Fairy
110,80,90,0059,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,Arcanine,100,80,95,555,Normal
115,80,95,0059,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png,Arcanine,95,80,90,555,Fairy
50,40,40,0060,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,Poliwag,40,40,90,300,Normal
65,65,65,0061,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,Poliwhirl,50,50,90,385,Fairy
95,95,90,0062,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,Poliwrath,70,90,70,510,Poison
20,15,25,0063,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,Abra,105,55,90,310,Flying
35,30,40,0064,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,Kadabra,120,70,105,400,Poison
50,45,55,0065,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,Alakazam,135,95,120,500,Flying
50,65,55,0065,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,Alakazam,175,105,150,600,Grass
80,50,70,0066,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,Machop,35,35,35,305,Poison
100,70,80,0067,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,Machoke,50,60,45,405,Grass
130,80,90,0068,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,Machamp,65,85,55,505,Poison
75,35,50,0069,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,Bellsprout,70,30,40,300,Grass
90,50,65,0070,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,Weepinbell,85,45,55,390,Poison
105,65,80,0071,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,Victreebel,100,70,70,490,Bug
40,35,40,0072,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,Tentacool,50,100,70,335,Grass
70,65,80,0073,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,Tentacruel,80,120,100,515,Bug
80,100,40,0074,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,Geodude,30,30,20,300,Grass
80,100,40,0074,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,Geodude,30,30,20,300,Bug
95,115,55,0075,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,Graveler,45,45,35,390,Poison
95,115,55,0075,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,Graveler,45,45,35,390,Bug
120,130,80,0076,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,Golem,55,65,45,495,Poison
120,130,80,0076,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,Golem,55,65,45,495,Ground
85,55,50,0077,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,Ponyta,65,65,90,410,Ground
85,55,50,0077,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,Ponyta,65,65,90,410,Steel
100,70,65,0078,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,Rapidash,80,80,105,500,Ground
100,70,65,0078,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,Rapidash,80,80,105,500,Ground
65,65,90,0079,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,Slowpoke,40,40,15,315,Steel
65,65,90,0079,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,Slowpoke,40,40,15,315,Normal
75,110,95,0080,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,Slowbro,100,80,30,490,Dark
75,180,95,0080,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,Slowbro,130,80,30,590,Steel
100,95,95,0080,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,Slowbro,100,70,30,490,Normal
35,70,25,0081,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,Magnemite,95,55,45,325,Dark
60,95,50,0082,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,Magneton,120,70,70,465,Water
90,55,52,0083,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,Farfetch'd,58,62,60,377,Water
95,55,52,0083,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,Farfetch'd,58,62,55,377,Fighting
85,45,35,0084,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,Doduo,35,35,75,310,Fighting
110,70,60,0085,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,Dodrio,60,60,110,470,Fire
45,55,65,0086,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,Seel,45,70,45,325,Fire
70,80,90,0087,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,Dewgong,70,95,70,475,Rock
80,50,80,0088,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,Grimer,40,50,25,325,Fire
80,50,80,0088,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,Grimer,40,50,25,325,Fire
105,75,105,0089,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,Muk,65,100,50,500,Rock
105,75,105,0089,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,Muk,65,100,50,500,Water
65,100,30,0090,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,Shellder,45,25,40,305,Water
95,180,50,0091,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,Cloyster,85,45,70,525,Water
35,30,30,0092,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,Gastly,100,35,80,310,Fighting
50,45,45,0093,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,Haunter,115,55,95,405,Psychic
65,60,60,0094,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,Gengar,130,75,110,500,Psychic
65,80,60,0094,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png,Gengar,170,95,130,600,Psychic
45,160,35,0095,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,Onix,30,45,70,385,Psychic
48,45,60,0096,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,Drowzee,43,90,42,328,Fighting
73,70,85,0097,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,Hypno,73,115,67,483,Fighting
105,90,30,0098,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,Krabby,25,25,50,325,Fighting
130,115,55,0099,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,Kingler,50,50,75,475,Grass
30,50,40,0100,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,Voltorb,55,55,100,330,Poison
30,50,40,0100,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb-hisuian.png,Voltorb,55,55,100,330,Grass
50,70,60,0101,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png,Electrode,80,80,150,490,Poison
50,70,60,0101,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode-hisuian.png,Electrode,80,80,150,490,Grass
40,80,60,0102,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png,Exeggcute,60,45,40,325,Poison
95,85,95,0103,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,Exeggutor,125,75,55,530,Water
105,85,95,0103,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,Exeggutor,125,75,45,530,Poison
50,95,50,0104,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png,Cubone,40,50,35,320,Water
80,110,60,0105,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png,Marowak,50,80,45,425,Poison
80,110,60,0105,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,Marowak,50,80,45,425,Rock
120,53,50,0106,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png,Hitmonlee,35,110,87,455,Ground
105,79,50,0107,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png,Hitmonchan,35,110,76,455,Rock
55,75,90,0108,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png,Lickitung,60,75,30,385,Electric
65,95,40,0109,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png,Koffing,60,45,35,340,Rock
90,120,65,0110,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png,Weezing,85,70,60,490,Ground
90,120,65,0110,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,Weezing,85,70,60,490,Rock
85,95,80,0111,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png,Rhyhorn,30,30,25,345,Electric
130,120,105,0112,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png,Rhydon,45,45,40,485,Rock
5,5,250,0113,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,Chansey,35,105,50,450,Ground
55,115,65,0114,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png,Tangela,100,40,60,435,Rock
95,80,105,0115,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,Kangaskhan,40,80,90,490,Electric
125,100,105,0115,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png,Kangaskhan,60,100,100,590,Fire
40,70,30,0116,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png,Horsea,70,25,60,295,Psychic
65,95,55,0117,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png,Seadra,95,45,85,440,Fire
67,60,45,0118,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png,Goldeen,35,50,63,320,Psychic
92,65,80,0119,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png,Seaking,65,80,68,450,Fairy
45,55,30,0120,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png,Staryu,70,55,85,340,Water
75,85,60,0121,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png,Starmie,100,85,115,520,Psychic
45,65,40,0122,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png,Mr. Mime,100,120,90,460,Psychic
65,65,50,0122,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png,Mr. Mime,90,90,100,460,Water
110,80,70,0123,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png,Scyther,55,80,105,500,Psychic
50,35,65,0124,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png,Jynx,115,95,95,455,Water
83,57,65,0125,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png,Electabuzz,95,85,105,490,Psychic
95,57,65,0126,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png,Magmar,100,85,93,495,Poison
125,100,65,0127,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png,Pinsir,55,70,85,500,Psychic
155,120,65,0127,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png,Pinsir,65,90,105,600,Electric
100,95,75,0128,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,Tauros,40,70,110,490,Steel
110,105,75,0128,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean.png,Tauros,30,70,100,490,Electric
110,105,75,0128,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-blaze.png,Tauros,30,70,100,490,Steel
110,105,75,0128,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-aqua.png,Tauros,30,70,100,490,Normal
10,55,20,0129,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png,Magikarp,15,20,80,200,Flying
125,79,95,0130,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png,Gyarados,60,100,81,540,Fighting
155,109,95,0130,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png,Gyarados,70,130,81,640,Normal
85,80,130,0131,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png,Lapras,85,95,60,535,Flying
48,48,48,0132,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png,Ditto,48,48,48,288,Normal
55,50,55,0133,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png,Eevee,45,65,55,325,Flying
75,70,65,0133,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png,Eevee,65,85,75,435,Water
65,60,130,0134,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png,Vaporeon,110,95,65,525,Water
65,60,65,0135,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png,Jolteon,110,95,130,525,Ice
130,60,65,0136,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png,Flareon,95,110,65,525,Poison
60,70,65,0137,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png,Porygon,85,75,40,395,Poison
40,100,35,0138,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png,Omanyte,90,55,35,355,Dark
60,125,70,0139,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png,Omastar,115,70,55,495,Poison
80,90,30,0140,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png,Kabuto,55,45,55,355,Poison
115,105,60,0141,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png,Kabutops,65,70,80,495,Dark
105,65,80,0142,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png,Aerodactyl,60,75,130,515,Water
135,85,80,0142,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png,Aerodactyl,70,95,150,615,Water
110,65,160,0143,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png,Snorlax,65,110,30,540,Ice
85,100,90,0144,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png,Articuno,95,125,85,580,Ghost
85,85,90,0144,https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png,Articuno,125,100,95,580,Poison
90,85,90,0145,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png,Zapdos,125,90,100,580,Ghost
125,90,90,0145,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png,Zapdos,85,90,100,580,Poison
100,90,90,0146,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png,Moltres,125,85,90,580,Ghost
85,90,90,0146,https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png,Moltres,100,125,90,580,Poison
64,45,41,0147,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png,Dratini,50,50,50,300,Ghost
84,65,61,0148,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png,Dragonair,70,70,70,420,Poison
134,95,91,0149,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png,Dragonite,100,100,80,600,Rock
110,90,106,0150,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png,Mewtwo,154,90,130,680,Ground
190,100,106,0150,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png,Mewtwo,154,100,130,780,Psychic
150,70,106,0150,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png,Mewtwo,194,120,140,780,Psychic
100,100,100,0151,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png,Mew,100,100,100,600,Water
49,65,45,0152,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png,Chikorita,49,65,45,318,Water
62,80,60,0153,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png,Bayleef,63,80,60,405,Electric
82,100,80,0154,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png,Meganium,83,100,80,525,Electric
52,43,39,0155,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png,Cyndaquil,60,50,65,309,Grass
64,58,58,0156,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png,Quilava,80,65,80,405,Electric
84,78,78,0157,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png,Typhlosion,109,85,100,534,Electric
84,78,73,0157,https://img.pokemondb.net/sprites/scarlet-violet/icon/typhlosion-hisuian.png,Typhlosion,119,85,95,534,Grass
65,64,50,0158,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png,Totodile,44,48,43,314,Grass
80,80,65,0159,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png,Croconaw,59,63,58,405,Psychic
105,100,85,0160,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png,Feraligatr,79,83,78,530,Grass
46,34,35,0161,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png,Sentret,35,45,20,215,Psychic
76,64,85,0162,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png,Furret,45,55,90,415,Grass
30,30,60,0163,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png,Hoothoot,36,56,50,262,Dragon
50,50,100,0164,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png,Noctowl,86,96,70,452,Ground
20,30,40,0165,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png,Ledyba,40,80,55,265,Ground
35,50,55,0166,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png,Ledian,55,110,85,390,Fire
60,40,40,0167,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png,Spinarak,40,40,30,250,Ghost
90,70,70,0168,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png,Ariados,60,70,40,400,Fighting
90,80,85,0169,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,Crobat,70,80,130,535,Fighting
38,38,75,0170,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png,Chinchou,56,56,67,330,Normal
58,58,125,0171,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png,Lanturn,76,76,67,460,Poison
40,15,20,0172,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,Pichu,35,35,60,205,Poison
25,28,50,0173,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,Cleffa,45,55,15,218,Poison
30,15,90,0174,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,Igglybuff,40,20,15,210,Fairy
20,65,35,0175,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,Togepi,40,65,20,245,Ground
40,85,55,0176,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png,Togetic,80,105,40,405,Rock
50,45,40,0177,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png,Natu,70,45,70,320,Ground
75,70,65,0178,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png,Xatu,95,70,95,470,Rock
40,40,55,0179,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png,Mareep,65,45,35,280,Normal
